user_id,recipe_id,date,rating,review
1535,304207,2008-05-27,5,The kids LOVED these! I did omit the tomato though. ;) I think they would be good with BBQ sauce in the onions as a variation also.
1535,307072,2008-07-12,5,"So fun!! My DD and I made this for her best friend's birthday. The BF adores frogs and *loved* her cupcakes!! In a kid magazine, we saw a similar cupcake with the icing being blue so it looked like the frog's eyes were peeking out of the water. Also a cute idea! I had to buy large gumdrops so I sliced each one in half and used the cut side for the front of the eyes. It worked really well. The cupcakes were Recipe #119028. Thanks for sharing a such a fun recipe!"
1535,285159,2008-09-11,5,My kids LOVED these! I think any Creamsicle lover would. Your dad has good taste! Thanks for sharing!
1535,366501,2009-04-30,5,Wow! You are right! Baking the grapefruit really brings out the flavors. I've tried several grapefruit recipes recently and this is my favorite so far. I really enjoyed the honey & brown sugar combination. I used only half of each amount and it was still delicious. Thanks!
1535,306022,2009-11-06,4,"The whole family enjoyed this simple dish. We felt it lacked a little something though, so next time I'll add some garlic and maybe red pepper flakes and a little more soy sauce just to perk it up a bit. I doubled the sauce, since we all like lots. The store was having a sale on steamer bag veggies so I used one of broccoli and one of broccoli, carrots and cauliflower instead of cooking the fresh in the pan. This is probably the best beef and broccoli recipe I've tried so far, so I know I'll be making it again. Thanks for sharing!"
1535,391705,2010-01-23,5,"So colorful and full of flavor! I made it for my lunches, but my kids liked it so much they asked if they could eat it too. I didn't have any swiss chard, so I added extra cabbage and carrots. I used one zucchini and one yellow squash. I plan on dressing it up for supper by adding some cooked noodles and chicken. This is so much better than the store bought canned 0 pt soups! Thank you for sharing it!"
1535,303771,2010-02-22,4,"The best thing about these cupcakes is how high they bake up. I have a feeling it is the mixing in the blender that does it. Because of the lovely domed top, they look very professional. Not quite as moist as my usual chocolate cake recipe, but a very quick and easy way to whip up 12 cupcakes. I topped them with Recipe #189464. Thanks for posting!"
1535,276895,2010-02-25,5,"Excellent soup! Everyone asked me to make it again. I only made a few minor changes. Instead of dicing the carrots, I ran them through my salad shooter using the wavy cut blade. Then I sauteed them and the onion in a little bit of olive oil. Afterward, I placed all the ingredients in my crock-pot and placed it in the refrigerator overnight. On Sunday morning, I set the crock-pot on low, so we came home to a lovely lunch of hot soup and Recipe #79800. This was a tasty way to use up the leftover ham from New Year's, but I'm sure it will be just as good when I use a ham steak in it. We all liked how the broth was nice and thick because of the mashed beans. Next time I'll probably add one more can of beans just to stretch the soup a bit more. Thanks for posting, Melissa! UPDATE: if you are in a hurry, canned carrots work beautifully too!"
1535,357226,2010-03-08,5,I used brown sugar. It took about 5 minutes under the broiler to bubble. Love it!
1535,437159,2011-08-11,5,"So addictive! I'm new to using a mandolin, so I'm not sure I sliced them thin enough. They were still rather soft in the middle after they cooled. They still tasted incredibly good though. I used a mister for the olive oil and added just a little salt to them. I'll be making this OFTEN. Thanks for posting!"
1535,284640,2011-10-14,5,"Very addictive! Everyone loved them. Even my husband who usually doesn't care for ""gourmet"" cookies kept coming back for more. My butter had softened too much, so they spread  a little more than I think they would have normally. I added an extra 1/4 cup of flour to help compensate since I like a cakey cookie. I already have the ingredients to make them again! Delicious! Update: When I prepared this recipe again, I made sure to not let the butter soften too much. They turned out much better. I still added an extra 1/4 cup of flour out of personal preference and they were perfect, IMHO."
1535,494972,2013-05-07,4,"Nice comfort food for a chilly, rainy evening. A little too spicy for my liking, but I&#039;m a wimp. The rest of the family enjoyed them. The ranch flavor was a nice addition. My daughter prepared them and had no trouble following the recipe. We served them with Recipe #52177."
1535,283072,2013-09-26,4,"Interesting. Unfortunately, I couldn&#039;t taste the cheeses at all. I really enjoyed the eggy-ness of the muffin (reminded me of a popover) and the sundried tomatoes. I used 2 tsp. baking powder and 2 tsp of baking soda. I don&#039;t like it when I can taste the baking powder in breads. They rose beautifully, so it wasn&#039;t a problem. I wish I had chopped the spinach up some though. They were very difficult to get out of the muffin papers while they were still warm. However, the next day, it wasn&#039;t a problem at all. I would recommend doubling the cheese and chopping the spinach up into smaller bits. I served them with Recipe #310750 for supper and enjoyed them with my lunch the next day."
1535,347938,2013-10-19,4,I had trouble with the broccoli being done sooner than the cauliflower. I would recommend putting the cauliflower in about 5 minutes and then adding the broccoli. The lemon juice was a little strong for a few members of the family. We all enjoyed our first time having these vegetables two roasted.
1535,314197,2013-12-19,4,I made this to go with my Recipe #447640. It was good but different  than I expected. I think it would be better with a tomato soup. My son loved it toasted. I think it would make an excellent grilled cheese sandwich.
1535,334493,2014-08-08,5,"Love, love, love pecan shortbread cookies! These were easy to make and delicious. I only had dark brown sugar, so I used 1/4 cup of it and 1/4 cup of white sugar. I didn&#039;t line my cookie sheets with anything and they did fine. Took about 13 minutes per batch to bake. I made 50 small cookies since it was for a party. Everyone loved them."
3288,282050,2008-03-15,4,"I made this soup for our Freezer Tag game in the Budget/OAMC Forum and I'm glad I did.  We had some left over roast.  I small diced and quickly whipped this together.  We did not put in the green pepper but otherwise stuck to the recipe.  The soup was flavorful and easy to put together.  For freezing, I put it in an individual container. For reheating, I took it out in the a.m. and by lunch it was sufficiently thawed to reheat in the microwave.  You do have to stir it a bit to recombine the soup.  The flavor after freezing in my opinion was as good as/or slightly better than the first night! Thanks for an easy recipe I can freeze and use my leftovers in on busy evenings :)"
3288,333064,2008-12-22,5,Definitely a keeper.  I made a modification that made a bit of a difference but I wanted to share that they turned out great anyway.  I used frozen...cooked 50 minutes without thawing but did everything else as directed.  They were mushier than a fresh brussels spout would have been but picked up that wonderful flavor and brown color at the end.  Thanks!
3288,288830,2009-02-23,4,These are uniquely different from what I would have expected and I really enjoyed them.  They barely taste like radishes.  I used a chili lime seasoning to give them a nice kick.  Will definitely try again with different seasonings :)
4291,295459,2008-08-19,5,"This recipe rocked!  It was easy peasy.  I purchased thinly sliced boneless chicken breasts, so no pounding required.  When I was ready to cook, though, I found I forgot to get the parsley. So, I used finely minced fresh spinach.  I'm sure it altered the taste, but it was good.   They were ready in a snap and the sauce was good.  I will make this again.  Thanks for the recipe, Slatts, it's a keeper.  Sue"
4291,287921,2009-01-02,5,"This was a hit with my granddaughters and son.  I did not use a staple, just folded the bag and it worked fine.  They all wanted butter on their popcorn.  It tasted so much better than store bought microwave popcorn and more economical too!  It took  my popcorn about 1 min 20 sec to pop.  Thanks for posting, it was fun and delicious activity for us.  Sue"
4291,289160,2009-02-02,5,"Teastockton, you are a lifesaver!  I was sitting at work this morning and the organizer of an event said I need punch for 50.  I asked when, he said in about 2 hours!  My fingers started flying over the keyboard and straight to Recipezaar I went.  When I saw the title, 2-Ingredient Punch, I thought, this could be good.  I looked, yep, got in my car, broke a few speed limits and purchased ginger ale (Vernors), Grape Juice, and frozen strawberries and raspberries.  It was so easy!  It looked festive (many wondered if it had alcohol) and tasted great.  Thanks for helping our event succeed.  Sue"
4291,306649,2009-03-16,5,"This was delicious!  But the biggest evidence of that is my 8-yr old chocoholic ate it.  He hasn't eaten a non-chocolate cake in over 4 years!  I didn't even ask him if he wanted some, he asked me!  That's high praise Sassy!  As for prep, it was easy to prepare.  I baked at 350, but it took an additional 7 min in my oven.  I will absolutely make this agains.  Thanks for posting.  Sue"
4439,333777,2011-05-16,5,this was very good and very easy. all i had in the house was a can of Progresso Onion Soup so i used that instead of the dry mix. it really does taste like a cup of French Onion Soup with toasted bread and cheese.
